time_s,temperature_C,pwm,direction
44.12,21.99,76,HEAT
44.62,22.51,76,HEAT
45.12,22.68,76,HEAT
45.62,23.21,76,HEAT
46.12,23.38,76,HEAT
46.62,23.82,76,HEAT
47.12,24.08,76,HEAT
47.62,24.78,76,HEAT
48.12,24.96,76,HEAT
48.62,25.22,76,HEAT
49.12,25.48,76,HEAT
49.62,25.84,76,HEAT
50.12,26.19,76,HEAT
50.62,26.37,76,HEAT
51.12,26.64,76,HEAT
51.62,26.99,76,HEAT
52.12,27.26,76,HEAT
52.62,27.62,76,HEAT
53.12,27.71,76,HEAT
53.62,28.16,76,HEAT
54.12,28.52,76,HEAT
54.62,28.71,76,HEAT
55.25,29.07,101,HEAT
55.72,29.43,115,HEAT
56.22,29.89,115,HEAT
56.72,29.89,115,HEAT
57.22,30.54,115,HEAT
57.72,30.91,115,HEAT
58.22,31.38,115,HEAT
58.72,31.75,115,HEAT
59.22,32.32,115,HEAT
59.72,32.41,115,HEAT
60.22,32.98,115,HEAT
60.72,33.37,115,HEAT
61.22,33.75,115,HEAT
61.72,34.14,116,HEAT
62.26,34.53,171,HEAT
62.76,34.82,229,HEAT
63.22,35.61,229,HEAT
63.72,36.31,229,HEAT
64.22,37.12,229,HEAT
64.73,38.05,229,HEAT
65.23,38.77,229,HEAT
65.73,39.94,229,HEAT
66.23,40.59,229,HEAT
66.73,41.35,229,HEAT
67.23,42.01,229,HEAT
67.73,42.91,229,HEAT
68.23,44.06,229,HEAT
68.73,44.41,229,HEAT
69.23,45.12,229,HEAT
69.73,45.84,229,HEAT
70.23,46.57,229,HEAT
70.73,47.19,229,HEAT
71.23,48.2,229,HEAT
71.89,49.23,42,HEAT
72.36,49.1,9,HEAT
72.86,49.1,9,HEAT
73.36,48.97,9,HEAT
73.86,48.58,9,HEAT
74.36,48.32,9,HEAT
74.86,47.94,9,HEAT
75.36,47.56,9,HEAT
75.86,47.19,9,HEAT
76.36,47.06,9,HEAT
76.86,46.57,9,HEAT
77.36,46.2,9,HEAT
77.86,46.08,9,COOL
78.36,45.72,9,COOL
78.86,45.36,112,COOL
79.36,45.12,134,COOL
79.86,44.53,134,COOL
80.36,43.83,134,COOL
80.86,43.26,134,COOL
81.36,42.69,134,COOL
81.86,42.01,134,COOL
82.36,41.35,134,COOL
82.86,41.13,134,COOL
83.36,40.37,134,COOL
83.86,40.05,134,COOL
84.36,39.41,134,COOL
84.86,38.88,134,COOL
85.36,38.36,134,COOL
85.86,38.05,134,COOL
86.36,37.53,134,COOL
86.86,37.12,134,COOL
87.36,36.62,134,COOL
87.86,36.11,134,COOL
88.39,35.81,180,COOL
88.86,35.32,212,COOL
89.36,34.92,212,COOL
89.86,34.53,212,COOL
90.36,33.75,212,COOL
90.86,33.37,212,COOL
